web-scraper-order,web-scraper-start-url,building_name,address,units,stories,year,type,neighborhood,amenities,buildings,buildings-href
"1533929228-36","http://yddevelopment.herokuapp.com/125buildings2.","House: 219 West 139th Street","219 West 139th Street, New York, NY, 10030","6 units","4 stories","Built in 1920","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/219-West-139th-Street-10030"
"1533929470-97","http://yddevelopment.herokuapp.com/125buildings2.","Building: 137 West 145th Street","137 West 145th Street, New York, NY, 10039","32 units","6 stories","Built in 1920","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 3","Building","https://streeteasy.com/building/137-West-145th-Street-10039"
"1533929667-150","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2419 Adam C Powell Boulevard","2419 Adam C Powell Boulevard, New York, NY, 10030","22 units","6 stories","Built in 1920","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 4","Building","https://streeteasy.com/building/2419-Adam-C-Powell-Blvd-10030"
"1533929895-210","http://yddevelopment.herokuapp.com/125buildings2.","Building: 131 West 137th Street","131 West 137th Street, New York, NY, 10030","21 units","5 stories","Built in 1935","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/131-West-137th-Street-10030"
"1533930132-281","http://yddevelopment.herokuapp.com/125buildings2.","Building: 2258 Adam C Powell Boulevard","2258 Adam C Powell Boulevard, New York, NY, 10027","9 units","5 stories","Has tax abated units","Rental Building","Central Harlem","null","Building","https://streeteasy.com/building/2258-Adam-C-Powell-Blvd-10027"
"1533930649-418","http://yddevelopment.herokuapp.com/125buildings2.","Building: 143 West 131st Street","143 West 131st Street, New York, NY, 10027","3 units","3 stories","Built in 1910","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/143-West-131st-Street-10027"
"1533930561-392","http://yddevelopment.herokuapp.com/125buildings2.","House: 136 West 133rd Street","136 West 133rd Street, New York, NY, 10030","10 units","5 stories","Built in 1910","Multi-family","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/136-West-133rd-Street-10030"
"1533930222-308","http://yddevelopment.herokuapp.com/125buildings2.","Property: 111 West 136th Street","111 West 136th Street, New York, NY, 10030","4 units","3 stories","Built in 1910","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 5","Building","https://streeteasy.com/building/111-West-136th-Street-10030"
"1533929351-72","http://yddevelopment.herokuapp.com/125buildings2.","Property: 211 West 137th Street","211 West 137th Street, New York, NY, 10030","3 units","3 stories","Built in 1912","Mixed-Use Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/211-West-137th-Street-10030"
"1533929200-30","http://yddevelopment.herokuapp.com/125buildings2.","Building: 253 West 139th Street","253 West 139th Street, New York, NY, 10030","4 units","4 stories","Built in 1926","Rental Building","Central Harlem","Amenities
      
      
        StreetEasy Verified
      

            Location
          
              
                  NYC Storm Zone 6","Building","https://streeteasy.com/building/253-West-139th-Street-10030"
